"STATISTIC","Statistic Label","TLIST(A1)","Year","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPA06C01","Residential Property Price Index","2016","2016","01","National - houses","Base Jan 2005 = 100","88.9"
"HPA06C01","Residential Property Price Index","2016","2016","02","National - apartments","Base Jan 2005 = 100","69.8"
"HPA06C01","Residential Property Price Index","2016","2016","05","Dublin - all residential properties","Base Jan 2005 = 100","88.7"
"HPA06C01","Residential Property Price Index","2016","2016","06","Dublin - houses","Base Jan 2005 = 100","93.5"
"HPA06C01","Residential Property Price Index","2016","2016","07","Dublin - apartments","Base Jan 2005 = 100","73.7"
"HPA06C01","Residential Property Price Index","2016","2016","08","Dublin City - houses","Base Jan 2005 = 100","93.2"
"HPA06C01","Residential Property Price Index","2016","2016","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","94.4"
"HPA06C01","Residential Property Price Index","2016","2016","10","Fingal - houses","Base Jan 2005 = 100","88.7"
"HPA06C01","Residential Property Price Index","2016","2016","11","South Dublin - houses","Base Jan 2005 = 100","91.8"
"HPA06C01","Residential Property Price Index","2016","2016","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","77.4"
"HPA06C01","Residential Property Price Index","2016","2016","04","National excluding Dublin - houses","Base Jan 2005 = 100","79"
"HPA06C01","Residential Property Price Index","2016","2016","12","National excluding Dublin - apartments","Base Jan 2005 = 100","56.5"
"HPA06C01","Residential Property Price Index","2016","2016","13","Border excluding Louth - houses","Base Jan 2005 = 100","61.3"
"HPA06C01","Residential Property Price Index","2016","2016","14","Midland - houses","Base Jan 2005 = 100","70"
"HPA06C01","Residential Property Price Index","2016","2016","15","West - houses","Base Jan 2005 = 100","70.2"
"HPA06C01","Residential Property Price Index","2016","2016","16","Mid-East including Louth - houses","Base Jan 2005 = 100","89.6"
"HPA06C01","Residential Property Price Index","2016","2016","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","69.1"
"HPA06C01","Residential Property Price Index","2016","2016","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","75.7"
"HPA06C01","Residential Property Price Index","2016","2016","19","South-West - houses","Base Jan 2005 = 100","85.6"
"HPA06C01","Residential Property Price Index","2017","2017","-","National - all residential properties","Base Jan 2005 = 100","95.4"
"HPA06C01","Residential Property Price Index","2017","2017","01","National - houses","Base Jan 2005 = 100","98.5"
"HPA06C01","Residential Property Price Index","2017","2017","02","National - apartments","Base Jan 2005 = 100","77.5"
"HPA06C01","Residential Property Price Index","2017","2017","05","Dublin - all residential properties","Base Jan 2005 = 100","97.1"
"HPA06C01","Residential Property Price Index","2017","2017","06","Dublin - houses","Base Jan 2005 = 100","102.3"
"HPA06C01","Residential Property Price Index","2017","2017","07","Dublin - apartments","Base Jan 2005 = 100","80.9"
"HPA06C01","Residential Property Price Index","2017","2017","08","Dublin City - houses","Base Jan 2005 = 100","103.3"
"HPA06C01","Residential Property Price Index","2017","2017","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","103"
"HPA06C01","Residential Property Price Index","2017","2017","10","Fingal - houses","Base Jan 2005 = 100","94.5"
"HPA06C01","Residential Property Price Index","2017","2017","11","South Dublin - houses","Base Jan 2005 = 100","102.2"
"HPA06C01","Residential Property Price Index","2017","2017","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","86.8"
"HPA06C01","Residential Property Price Index","2017","2017","04","National excluding Dublin - houses","Base Jan 2005 = 100","88.5"
"HPA06C01","Residential Property Price Index","2017","2017","12","National excluding Dublin - apartments","Base Jan 2005 = 100","64.6"
"HPA06C01","Residential Property Price Index","2017","2017","13","Border excluding Louth - houses","Base Jan 2005 = 100","67.9"
"HPA06C01","Residential Property Price Index","2017","2017","14","Midland - houses","Base Jan 2005 = 100","78.5"
"HPA06C01","Residential Property Price Index","2017","2017","15","West - houses","Base Jan 2005 = 100","81.3"
"HPA06C01","Residential Property Price Index","2017","2017","16","Mid-East including Louth - houses","Base Jan 2005 = 100","100.2"
"HPA06C01","Residential Property Price Index","2017","2017","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","75.7"
"HPA06C01","Residential Property Price Index","2017","2017","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","85.7"
"HPA06C01","Residential Property Price Index","2017","2017","19","South-West - houses","Base Jan 2005 = 100","95.8"
"HPA06C01","Residential Property Price Index","2018","2018","-","National - all residential properties","Base Jan 2005 = 100","105.1"
"HPA06C01","Residential Property Price Index","2018","2018","01","National - houses","Base Jan 2005 = 100","108.4"
"HPA06C01","Residential Property Price Index","2018","2018","02","National - apartments","Base Jan 2005 = 100","87.4"
"HPA06C01","Residential Property Price Index","2018","2018","05","Dublin - all residential properties","Base Jan 2005 = 100","105.4"
"HPA06C01","Residential Property Price Index","2018","2018","06","Dublin - houses","Base Jan 2005 = 100","110.7"
"HPA06C01","Residential Property Price Index","2018","2018","07","Dublin - apartments","Base Jan 2005 = 100","89.5"
